,era-id,longitude,latitude,elevation,start-date,end-date,cleaned,time_cleaned,network,pr_15min_nobs,tas_nobs,tdps_nobs,tdps_derived_nobs,ps_nobs,psl_nobs,ps_altimeter_nobs,pr_nobs,pr_5min_nobs,pr_1h_nobs,pr_24h_nobs,pr_localmid_nobs,hurs_nobs,sfcwind_nobs,sfcwind_dir_nobs,rsds_nobs,total_nobs
52,ASOSAWOS_72097100342,-108.783,42.517,2588.0568000000003,2012-01-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 12:57:57+00:00,ASOSAWOS,,204702.0,203826.0,0.0,109236.0,0.0,152458.0,2251.0,0.0,0.0,0.0,0.0,0.0,181912.0,165749.0,0.0,206478.0
53,ASOSAWOS_72097600345,-108.691,32.333,1304.2392,2012-02-15 00:00:00+00:00,2022-08-12 00:00:00+00:00,Y,2023-02-07 13:00:13+00:00,ASOSAWOS,,117003.0,117001.0,0.0,52215.0,0.0,117014.0,1169.0,0.0,0.0,0.0,0.0,0.0,107701.0,91089.0,0.0,117454.0
54,ASOSAWOS_72103600353,-108.389,43.467,2225.04,2012-08-06 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:02:14+00:00,ASOSAWOS,,168528.0,168378.0,0.0,131677.0,0.0,177872.0,0.0,0.0,0.0,0.0,0.0,0.0,119430.0,114750.0,0.0,179133.0
55,ASOSAWOS_72206103038,-106.15,39.467,3680.1552,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 09:19:51+00:00,ASOSAWOS,,383765.0,382984.0,0.0,337853.0,0.0,376877.0,6353.0,0.0,0.0,0.0,0.0,0.0,346272.0,329159.0,0.0,388268.0
56,ASOSAWOS_72209653127,-115.133,35.976,35.976,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 09:17:05+00:00,ASOSAWOS,,146772.0,146612.0,0.0,142850.0,141669.0,147405.0,32641.0,0.0,0.0,0.0,0.0,0.0,147343.0,124388.0,0.0,150709.0
57,ASOSAWOS_72210103039,-106.8,37.45,3593.8968,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 09:13:30+00:00,ASOSAWOS,,350834.0,348473.0,0.0,308510.0,0.0,350185.0,11123.0,0.0,0.0,0.0,0.0,0.0,326353.0,307968.0,0.0,359126.0
58,ASOSAWOS_72214204114,-114.216,44.523,1534.0584,2005-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 08:41:15+00:00,ASOSAWOS,,170219.0,170182.0,0.0,151620.0,153205.0,170575.0,153278.0,0.0,0.0,0.0,0.0,0.0,169807.0,92579.0,0.0,177445.0
59,ASOSAWOS_72215503040,-104.633,39.217,2151.888,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 10:05:39+00:00,ASOSAWOS,,407272.0,407121.0,0.0,367620.0,0.0,409403.0,7879.0,0.0,0.0,0.0,0.0,0.0,401373.0,377357.0,0.0,413780.0
60,ASOSAWOS_72220303041,-106.317,38.483,3667.0488,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 10:58:30+00:00,ASOSAWOS,,369996.0,369824.0,0.0,331751.0,0.0,370744.0,0.0,0.0,0.0,0.0,0.0,0.0,299085.0,293774.0,0.0,373976.0
61,ASOSAWOS_72220804224,-122.911,48.708,9.4488,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:05:09+00:00,ASOSAWOS,,424651.0,424155.0,0.0,385044.0,0.0,429196.0,13370.0,0.0,0.0,0.0,0.0,0.0,423622.0,289817.0,0.0,434798.0
62,ASOSAWOS_72222100444,-107.493,41.037,1996.1352,2013-07-31 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 13:08:29+00:00,ASOSAWOS,,222117.0,222379.0,0.0,195941.0,0.0,226818.0,0.0,0.0,0.0,0.0,0.0,0.0,226528.0,187491.0,0.0,228304.0
63,ASOSAWOS_72233303069,-106.169,38.097,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:11:36+00:00,ASOSAWOS,,358833.0,358757.0,0.0,320304.0,0.0,367015.0,3844.0,0.0,0.0,0.0,0.0,0.0,366856.0,302644.0,0.0,376696.0
